date_key,full_date,year_num,quarter_num,month_num,month_name,day_of_month,iso_day_of_week,day_name,iso_week_num,iso_year_num,is_weekend,first_day_month,last_day_month
0,1900-01-01,0,0,0,Unknown,0,0,Unknown,0,0,f,1900-01-01,1900-01-01
20060101,2006-01-01,2006,1,1,January,1,7,Sunday,52,2005,t,2006-01-01,2006-01-31
20060102,2006-01-02,2006,1,1,January,2,1,Monday,1,2006,f,2006-01-01,2006-01-31
20060103,2006-01-03,2006,1,1,January,3,2,Tuesday,1,2006,f,2006-01-01,2006-01-31
20060104,2006-01-04,2006,1,1,January,4,3,Wednesday,1,2006,f,2006-01-01,2006-01-31
20060105,2006-01-05,2006,1,1,January,5,4,Thursday,1,2006,f,2006-01-01,2006-01-31
20060106,2006-01-06,2006,1,1,January,6,5,Friday,1,2006,f,2006-01-01,2006-01-31
20060107,2006-01-07,2006,1,1,January,7,6,Saturday,1,2006,t,2006-01-01,2006-01-31
20060108,2006-01-08,2006,1,1,January,8,7,Sunday,1,2006,t,2006-01-01,2006-01-31
20060109,2006-01-09,2006,1,1,January,9,1,Monday,2,2006,f,2006-01-01,2006-01-31
20060110,2006-01-10,2006,1,1,January,10,2,Tuesday,2,2006,f,2006-01-01,2006-01-31
20060111,2006-01-11,2006,1,1,January,11,3,Wednesday,2,2006,f,2006-01-01,2006-01-31
20060112,2006-01-12,2006,1,1,January,12,4,Thursday,2,2006,f,2006-01-01,2006-01-31
20060113,2006-01-13,2006,1,1,January,13,5,Friday,2,2006,f,2006-01-01,2006-01-31
20060114,2006-01-14,2006,1,1,January,14,6,Saturday,2,2006,t,2006-01-01,2006-01-31
20060115,2006-01-15,2006,1,1,January,15,7,Sunday,2,2006,t,2006-01-01,2006-01-31
20060116,2006-01-16,2006,1,1,January,16,1,Monday,3,2006,f,2006-01-01,2006-01-31
20060117,2006-01-17,2006,1,1,January,17,2,Tuesday,3,2006,f,2006-01-01,2006-01-31
20060118,2006-01-18,2006,1,1,January,18,3,Wednesday,3,2006,f,2006-01-01,2006-01-31
20060119,2006-01-19,2006,1,1,January,19,4,Thursday,3,2006,f,2006-01-01,2006-01-31
20060120,2006-01-20,2006,1,1,January,20,5,Friday,3,2006,f,2006-01-01,2006-01-31
20060121,2006-01-21,2006,1,1,January,21,6,Saturday,3,2006,t,2006-01-01,2006-01-31
20060122,2006-01-22,2006,1,1,January,22,7,Sunday,3,2006,t,2006-01-01,2006-01-31
20060123,2006-01-23,2006,1,1,January,23,1,Monday,4,2006,f,2006-01-01,2006-01-31
20060124,2006-01-24,2006,1,1,January,24,2,Tuesday,4,2006,f,2006-01-01,2006-01-31
20060125,2006-01-25,2006,1,1,January,25,3,Wednesday,4,2006,f,2006-01-01,2006-01-31
20060126,2006-01-26,2006,1,1,January,26,4,Thursday,4,2006,f,2006-01-01,2006-01-31
20060127,2006-01-27,2006,1,1,January,27,5,Friday,4,2006,f,2006-01-01,2006-01-31
20060128,2006-01-28,2006,1,1,January,28,6,Saturday,4,2006,t,2006-01-01,2006-01-31
20060129,2006-01-29,2006,1,1,January,29,7,Sunday,4,2006,t,2006-01-01,2006-01-31
20060130,2006-01-30,2006,1,1,January,30,1,Monday,5,2006,f,2006-01-01,2006-01-31
20060131,2006-01-31,2006,1,1,January,31,2,Tuesday,5,2006,f,2006-01-01,2006-01-31
20060201,2006-02-01,2006,1,2,February,1,3,Wednesday,5,2006,f,2006-02-01,2006-02-28
20060202,2006-02-02,2006,1,2,February,2,4,Thursday,5,2006,f,2006-02-01,2006-02-28
